"State","Year","Arts_Entertain_Rec","Education","Farming","Finance_Insur","Government","Healthcare_Social","Information","Manufacturing","Mining_Quar_Oil_Gas","Retail"
"Montana","2017",0.03057,0.01289,0.04492,0.0375,0.14227,0.11388,0.01256,0.03648,0.01765,0.1118
"Nebraska","2000",0.01504,0.01525,0.05661,0.05602,0.13851,0.09043,0.02319,0.09824,0.00183,0.11993
"Nebraska","2017",0.01929,0.01831,0.04132,0.06319,0.13289,0.10954,0.01577,0.07712,0.0024,0.10305
"Nevada","2000",0.03321,0.00395,0.00421,0.05066,0.10407,0.05606,0.01756,0.03608,0.0101,0.10544
"Nevada","2017",0.03133,0.00974,0.00303,0.0477,0.0981,0.07935,0.01157,0.03029,0.01101,0.10004
"New Hampshire","2000",0.02261,0.02858,0.00602,0.04379,0.11061,0.09707,0.02037,0.13575,0.00077,0.14288
"New Hampshire","2017",0.02618,0.03544,0.00588,0.04803,0.10657,0.11535,0.01747,0.0841,0.00174,0.12829
"New Jersey","2000",0.01682,0.0173,0.00399,0.05794,0.1272,0.09869,0.0288,0.09034,0.00063,0.11126
"New Jersey","2017",0.02282,0.02498,0.00353,0.06231,0.11193,0.11929,0.01644,0.04779,7e-04,0.10041
"New Mexico","2000",0.02141,0.01163,0.02271,0.03217,0.20968,0.09157,0.01887,0.04865,0.01928,0.11608
"New Mexico","2017",0.02292,0.01553,0.02645,0.0325,0.18775,0.1228,0.01411,0.02966,0.02843,0.10155
"New York","2000",0.02462,0.0314,0.00582,0.07062,0.14234,0.1209,0.03416,0.07345,0.00086,0.09777
"New York","2017",0.02967,0.03931,0.00426,0.07309,0.1175,0.1383,0.02537,0.03881,0.00114,0.08883
"North Carolina","2000",0.01571,0.01229,0.01737,0.03697,0.15119,0.07605,0.01894,0.15909,0.00129,0.11186
"North Carolina","2017",0.02237,0.02369,0.01058,0.04469,0.14503,0.09632,0.01605,0.08275,0.00132,0.10243
"North Dakota","2000",0.01288,0.00878,0.08371,0.04256,0.17414,0.11607,0.0211,0.05443,0.00902,0.11826
"North Dakota","2017",0.01487,0.01159,0.04939,0.04707,0.15402,0.11572,0.01282,0.046,0.04218,0.10337
"Ohio","2000",0.01726,0.0152,0.01488,0.0438,0.1212,0.09869,0.01786,0.15417,0.00299,0.11748
"Ohio","2017",0.02045,0.02178,0.01247,0.0495,0.1148,0.12806,0.01263,0.10229,0.00412,0.0993
"Oklahoma","2000",0.01281,0.01048,0.05024,0.03875,0.16568,0.088,0.01975,0.08927,0.02646,0.11282
"Oklahoma","2017",0.01528,0.01354,0.03398,0.04488,0.1609,0.09588,0.01142,0.06096,0.05348,0.09984
"Oregon","2000",0.02067,0.01558,0.03139,0.03909,0.1328,0.08993,0.02184,0.11159,0.00164,0.11559
"Oregon","2017",0.02552,0.02341,0.02613,0.03811,0.11539,0.11624,0.01709,0.08222,0.00239,0.10305
"Pennsylvania","2000",0.01743,0.03095,0.01239,0.05044,0.11372,0.11762,0.02151,0.12735,0.00381,0.1186
"Pennsylvania","2017",0.02256,0.03984,0.00978,0.05268,0.1008,0.14322,0.01322,0.07733,0.00616,0.1
"Rhode Island","2000",0.02117,0.03864,0.00223,0.05064,0.13113,0.13017,0.02089,0.12319,0.00084,0.10487
"Rhode Island","2017",0.02753,0.05028,0.00229,0.05937,0.11267,0.13897,0.01243,0.06688,NA,0.09016
"South Carolina","2000",0.01695,0.01106,0.01415,0.03479,0.16797,0.0633,0.01554,0.14854,0.00115,0.12165
"South Carolina","2017",0.02029,0.01671,0.01046,0.04102,0.14823,0.08477,0.01265,0.09048,0.00181,0.10817
"South Dakota","2000",0.01904,0.01458,0.07422,0.05872,0.15217,0.10525,0.01554,0.08593,0.0027,0.1233
"South Dakota","2017",0.02047,0.01688,0.05228,0.06591,0.14267,0.11651,0.01165,0.07562,0.00441,0.11261
"Tennessee","2000",0.01653,0.01332,0.03062,0.04,0.12161,0.07959,0.0178,0.14419,0.00181,0.11667
"Tennessee","2017",0.02264,0.01998,0.01852,0.04444,0.11065,0.10557,0.01452,0.0901,0.00217,0.10381
"Texas","2000",0.01447,0.01154,0.02343,0.04808,0.14168,0.0796,0.02508,0.09088,0.01806,0.11249
