"word_tokens"
"28"
"condition"
"shot"
"truman"
"college"
"uptown"
"monday"
"evening"
"custody"
"alderman"
"james"
"cappleman"
"46"
"called"
"victim"
"gang"
"leader"
"promised"
"office"
"offering"
"services"
"track"
"victim"
"sitting"
"sidewalk"
"1100"
"block"
"west"
"wilson"
"shots"
"fired"
"vehicle"
"striking"
"ankle"
"7"
"40"
"p.m"
"initial"
"information"
"shell"
"casings"
"found"
"front"
"school"
"police"
"scene"
"black"
"door"
"cadillac"
"red"
"nissan"
"involved"
"cars"
"eastbound"
"wilson"
"clifton"
"avenue"
"stopped"
"briefly"
"front"
"school"
"shots"
"rang"
"vehicles"
"fled"
"cadillac"
"reported"
"stolen"
"subsequently"
"found"
"police"
"blocks"
"900"
"block"
"west"
"ainslie"
"nissan"
"remains"
"police"
"department"
"records"
"victim"
"arrested"
"numerous"
"times"
"uptown"
"recent"
"faced"
"charges"
"including"
"manufacture"
"delivery"
"cocaine"
"local"
"park"
"mob"
"action"
"criminal"
"trespass"
"vehicles"
"tonight’s"
"shooting"
"11th"
"uptown"
"july"
"20"
"gang"
"leader"
"shot"
"ankle"
"wilson"
"racine"
"stretch"
"shootings"
"offering"
"services"
"track"
"pic.twitter.com"
"rtg5p4ldvh"
"james"
"cappleman"
"jamescappleman"
"october"
"1"
"2019"
"michael"
"matthews"
"inset"
"police"
"sunday"
"cpdprosecutors"
"charged"
"murder"
"connection"
"fatal"
"shooting"
"security"
"guard"
"sound"
"bar"
"nightclub"
"river"
"north"
"earlier"
"judge"
"mary"
"marubio"
"41"
"michael"
"matthews"
"held"
"lieu"
"500,000"
"bail"
"prosecutors"
"monday"
"filed"
"degree"
"murder"
"mob"
"action"
"charges"
"he’s"
"due"
"court"
"oct"
"18"
"police"
"matthews"
"surrendered"
"police"
"sunday"
"learned"
"warrant"
"issued"
"arrest"
"matthews"
"resigned"
"job"
"city’s"
"department"
"transportation"
"friday"
"previously"
"charged"
"awaiting"
"trials"
"37"
"armond"
"williams"
"villa"
"park"
"34"
"jon"
"poole"
"hearing"
"williams"
"earlier"
"prosecutor"
"james"
"murphy"
"trouble"
"feb"
"28th"
"arriving"
"sound"
"bar"
"exception"
"patted"
"security"
"club’s"
"entrance"
"identified"
"matthews"
"williams"
"sound"
"bar"
"march"
"8th"
"argument"
"28"
"doorman"
"thurmond"
"bailey"
"bar’s"
"staff"
"murphy"
"prosecutor"
"fight"
"escalated"
"williams"
"punched"
"thurmond"
"thurmond"
"pulled"
"gun"
"prompted"
"williams"
"pull"
"gun"
"fire"
"rounds"
"handed"
"gun"
"poole"
"poole"
"allegedly"
"fired"
"rounds"
"striking"
"bailey"
"injuring"
"club"
"owner"
"mark"
"jurcyzk"
"police"
"department"
"source"
"bailey"
"fired"
"strike"
"pronounced"
"dead"
"hour"
"matthews"
"accused"
"personally"
"firing"
"shots"
"conflict"
"charged"
"illinois"
"law"
"individuals"
"allegedly"
"involved"
"felonious"
"action"
"charged"
"murder"
"killed"
"commission"
"crime"
"matthews"
"additional"
"felony"
"forcible"
"mob"
"action"
"marubio"
"matthews"
"electronic"
"monitoring"
"post"
"10"
"deposit"
"bond"
"50,000"
"previous"
"coverage"
"sound"
"bar"
"shooting"
"approximate"
"locations"
"related"
"burglaries"
"multiplottrdetectives"
"connected"
"recent"
"residential"
"burglaries"
"southeast"
"lakeview"
"single"
"suspect"
"community"
"alert"
"issued"
"sunday"
"night"
"police"
"prowler"
"entered"
"homes"
"unlocked"
"windows"
"daytime"
"hours"
"steal"
"valuables"
"incidents"
"connected"
"offender"
"occurred"
"900"
"block"
"west"
"oakdale"
"1"
"20"
"p.m"
"sept"
"8"
"700"
"block"
"west"
"oakdale"
"9"
"a.m"
"10"
"30"
"p.m"
"sept"
"24"
"700"
"block"
"west"
"belmont"
"8"
"35"
"a.m"
"5"
"45"
"p.m"
"sept"
"24"
"alert"
"burglar"
"black"
"male"
"20"
"25"
"stands"
"6"
"feet"
"tall"
"dreadlocks"
"wears"
"dark"
"clothing"
"police"
"encouraging"
"residents"
"neighbors"
"pattern"
"ensure"
"windows"
"doors"
"locked"
"hours"
"police"
"issued"
"alert"
"burglary"
"reported"
"sept"
"30"
"400"
"block"
"west"
"oakdale"
"formally"
"connected"
"pattern"
"information"
"crimes"
"north"
"detectives"
"312"
"744"
"8263"
"refer"
"pattern"
"p19"
"246"
"approximate"
"locations"
"linked"
"robberies"
"multiplottr"
"robbery"
"magnificent"
"mile"
"weekend"
"prompted"
"central"
"detectives"
"issue"
"community"
"alert"
"warn"
"public"
"series"
"muggings"
"downtown"
"investigators"
"typically"
"issue"
"community"
"alerts"
"person"
"responsible"
"series"
"crimes"
"police"
"beaten"
"robbed"
"alley"
"bernardin"
"apartments"
"747"
"north"
"wabash"
"3"
"15"
"p.m"
"saturday"
"victim"
"northwestern"
"memorial"
"hospital"
"treatment"
"saturday’s"
"attack"
"pattern"
"robberies"
"river"
"north"
"michigan"
"avenue"
"aug"
"25"
"community"
"alert"
"police"
"updated"
"late"
"sunday"
"mid"
"20"
"approaching"
"victims"
"street"
"beating"
"taking"
"valuables"
"police"
"warning"
"originally"
"issued"
"sept"
"14"
"addition"
"saturday’s"
"robbery"
"detectives"
"identified"
"connection"
"muggings"
"1"
"a.m"
"aug"
"25th"
"block"
"west"
"elm"
"3"
"30"
"a.m"
"aug"
"31"
"1100"
"block"
"north"
"la"
"salle"
"4"
"20"
"a.m"
"sept"
"7"
"200"
"block"
"west"
"ontario"
"8"
"p.m"
"sept"
"10"
"300"
"block"
"north"
"morning"
"sept"
